,YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION(Megawatthours),GENERATION(TWh)
13911,1999,AZ,Total Electric Power Industry,Pumped Storage,324035.0,0.324035
13912,1999,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,0.0,0.0
15515,2000,AZ,Total Electric Power Industry,Total,88946577.0,88.946577
15516,2000,AZ,Total Electric Power Industry,Coal,40993129.0,40.993129
15517,2000,AZ,Total Electric Power Industry,Hydroelectric Conventional,8354216.0,8.354216
15518,2000,AZ,Total Electric Power Industry,Natural Gas,8734799.0,8.734799
15519,2000,AZ,Total Electric Power Industry,Nuclear,30380571.0,30.380571
15520,2000,AZ,Total Electric Power Industry,Other Biomass,4583.0,0.004583
15521,2000,AZ,Total Electric Power Industry,Petroleum,190323.0,0.190323
15522,2000,AZ,Total Electric Power Industry,Pumped Storage,288956.0,0.288956
15523,2000,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,0.0,0.0
17170,2001,AZ,Total Electric Power Industry,Total,89911272.0,89.911272
17171,2001,AZ,Total Electric Power Industry,Coal,40061494.0,40.061494
17172,2001,AZ,Total Electric Power Industry,Hydroelectric Conventional,7623565.0,7.623565
17173,2001,AZ,Total Electric Power Industry,Natural Gas,12872200.0,12.8722
17174,2001,AZ,Total Electric Power Industry,Nuclear,28724076.0,28.724076
17175,2001,AZ,Total Electric Power Industry,Other Biomass,38948.0,0.038948
17176,2001,AZ,Total Electric Power Industry,Petroleum,314206.0,0.314206
17177,2001,AZ,Total Electric Power Industry,Pumped Storage,276294.0,0.276294
17178,2001,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,489.0,0.000489
18890,2002,AZ,Total Electric Power Industry,Total,94131666.0,94.131666
18891,2002,AZ,Total Electric Power Industry,Coal,38226631.0,38.226631
18892,2002,AZ,Total Electric Power Industry,Hydroelectric Conventional,7427180.0,7.42718
18893,2002,AZ,Total Electric Power Industry,Natural Gas,17293015.0,17.293015
18894,2002,AZ,Total Electric Power Industry,Nuclear,30861911.0,30.861911
18895,2002,AZ,Total Electric Power Industry,Other,87714.0,0.087714
18896,2002,AZ,Total Electric Power Industry,Other Biomass,53346.0,0.053346
18897,2002,AZ,Total Electric Power Industry,Petroleum,57446.0,0.057446
18898,2002,AZ,Total Electric Power Industry,Pumped Storage,123964.0,0.123964
18899,2002,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,459.0,0.000459
20667,2003,AZ,Total Electric Power Industry,Total,94396218.0,94.396218
20668,2003,AZ,Total Electric Power Industry,Coal,38091409.0,38.091409
20669,2003,AZ,Total Electric Power Industry,Hydroelectric Conventional,7074984.0,7.074984
20670,2003,AZ,Total Electric Power Industry,Natural Gas,18932641.0,18.932641
20671,2003,AZ,Total Electric Power Industry,Nuclear,28581053.0,28.581053
20672,2003,AZ,Total Electric Power Industry,Other,1338595.0,1.338595
20673,2003,AZ,Total Electric Power Industry,Other Biomass,44874.0,0.044874
20674,2003,AZ,Total Electric Power Industry,Petroleum,48677.0,0.048677
20675,2003,AZ,Total Electric Power Industry,Pumped Storage,283590.0,0.28359
20676,2003,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,395.0,0.000395
22446,2004,AZ,Total Electric Power Industry,Total,104564143.0,104.564143
22447,2004,AZ,Total Electric Power Industry,Coal,39810556.0,39.810556
22448,2004,AZ,Total Electric Power Industry,Hydroelectric Conventional,6973147.0,6.973147
22449,2004,AZ,Total Electric Power Industry,Natural Gas,28264943.0,28.264943
22450,2004,AZ,Total Electric Power Industry,Nuclear,28112609.0,28.112609
22451,2004,AZ,Total Electric Power Industry,Other,1367550.0,1.36755
22452,2004,AZ,Total Electric Power Industry,Other Biomass,43998.0,0.043998
22453,2004,AZ,Total Electric Power Industry,Petroleum,40516.0,0.040516
22454,2004,AZ,Total Electric Power Industry,Pumped Storage,-53440.0,-0.05344
22455,2004,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,4265.0,0.004265
24245,2005,AZ,Total Electric Power Industry,Total,101478654.0,101.478654
24246,2005,AZ,Total Electric Power Industry,Coal,40143534.0,40.143534
24247,2005,AZ,Total Electric Power Industry,Hydroelectric Conventional,6410064.0,6.410064
24248,2005,AZ,Total Electric Power Industry,Natural Gas,28893013.0,28.893013
24249,2005,AZ,Total Electric Power Industry,Nuclear,25807446.0,25.807446
24250,2005,AZ,Total Electric Power Industry,Other Biomass,48356.0,0.048356
24251,2005,AZ,Total Electric Power Industry,Petroleum,43237.0,0.043237
24252,2005,AZ,Total Electric Power Industry,Pumped Storage,107365.0,0.107365
24253,2005,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,13581.0,0.013581
24254,2005,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,12058.0,0.012058
26045,2006,AZ,Total Electric Power Industry,Total,104392528.0,104.392528
26046,2006,AZ,Total Electric Power Industry,Coal,40442855.0,40.442855
26047,2006,AZ,Total Electric Power Industry,Hydroelectric Conventional,6792904.0,6.792904
26048,2006,AZ,Total Electric Power Industry,Natural Gas,32869047.0,32.869047
26049,2006,AZ,Total Electric Power Industry,Nuclear,24012231.0,24.012231
26050,2006,AZ,Total Electric Power Industry,Other Biomass,32193.0,0.032193
26051,2006,AZ,Total Electric Power Industry,Petroleum,73371.0,0.073371
26052,2006,AZ,Total Electric Power Industry,Pumped Storage,148552.0,0.148552
26053,2006,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,13134.0,0.013134
26054,2006,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,8240.0,0.00824
27861,2007,AZ,Total Electric Power Industry,Total,113340970.0,113.34097
27862,2007,AZ,Total Electric Power Industry,Coal,41275362.0,41.275362
27863,2007,AZ,Total Electric Power Industry,Hydroelectric Conventional,6597671.0,6.597671
27864,2007,AZ,Total Electric Power Industry,Natural Gas,38469221.0,38.469221
27865,2007,AZ,Total Electric Power Industry,Nuclear,26782391.0,26.782391
27866,2007,AZ,Total Electric Power Industry,Other Biomass,32990.0,0.03299
27867,2007,AZ,Total Electric Power Industry,Petroleum,49276.0,0.049276
27868,2007,AZ,Total Electric Power Industry,Pumped Storage,125411.0,0.125411
27869,2007,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,8649.0,0.008649
29685,2008,AZ,Total Electric Power Industry,Total,119459172.0,119.459172
29686,2008,AZ,Total Electric Power Industry,Coal,43840260.0,43.84026
29687,2008,AZ,Total Electric Power Industry,Hydroelectric Conventional,7285902.0,7.285902
29688,2008,AZ,Total Electric Power Industry,Natural Gas,38822429.0,38.822429
29689,2008,AZ,Total Electric Power Industry,Nuclear,29250496.0,29.250496
29690,2008,AZ,Total Electric Power Industry,Other Biomass,22986.0,0.022986
29691,2008,AZ,Total Electric Power Industry,Petroleum,51897.0,0.051897
29692,2008,AZ,Total Electric Power Industry,Pumped Storage,94530.0,0.09453
29693,2008,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,14724.0,0.014724
29694,2008,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,75947.0,0.075947
31557,2009,AZ,Total Electric Power Industry,Total,111971250.0,111.97125
31558,2009,AZ,Total Electric Power Industry,Coal,39706817.0,39.706817
31559,2009,AZ,Total Electric Power Industry,Hydroelectric Conventional,6427345.0,6.427345
31560,2009,AZ,Total Electric Power Industry,Natural Gas,34739170.0,34.73917
31561,2009,AZ,Total Electric Power Industry,Nuclear,30661851.0,30.661851
31562,2009,AZ,Total Electric Power Industry,Other,1567.0,0.001567
31563,2009,AZ,Total Electric Power Industry,Other Biomass,21990.0,0.02199
31564,2009,AZ,Total Electric Power Industry,Petroleum,62699.0,0.062699
31565,2009,AZ,Total Electric Power Industry,Pumped Storage,169480.0,0.16948
31566,2009,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,14145.0,0.014145
31567,2009,AZ,Total Electric Power Industry,Wind,29545.0,0.029545
31568,2009,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,136641.0,0.136641
33453,2010,AZ,Total Electric Power Industry,Total,111750957.0,111.750957
33454,2010,AZ,Total Electric Power Industry,Coal,43643807.0,43.643807
33455,2010,AZ,Total Electric Power Industry,Hydroelectric Conventional,6622160.0,6.62216
33456,2010,AZ,Total Electric Power Industry,Natural Gas,29675942.0,29.675942
33457,2010,AZ,Total Electric Power Industry,Nuclear,31199935.0,31.199935
33458,2010,AZ,Total Electric Power Industry,Other,14742.0,0.014742
33459,2010,AZ,Total Electric Power Industry,Other Biomass,28411.0,0.028411
33460,2010,AZ,Total Electric Power Industry,Petroleum,66434.0,0.066434
33461,2010,AZ,Total Electric Power Industry,Pumped Storage,209030.0,0.20903
33462,2010,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,15754.0,0.015754
33463,2010,AZ,Total Electric Power Industry,Wind,134916.0,0.134916
33464,2010,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,139826.0,0.139826
35389,2011,AZ,Total Electric Power Industry,Total,108125356.89,108.12535689
35390,2011,AZ,Total Electric Power Industry,Coal,43702296.69,43.70229669
35391,2011,AZ,Total Electric Power Industry,Hydroelectric Conventional,9174092.0,9.174092
35392,2011,AZ,Total Electric Power Industry,Natural Gas,23252699.58,23.252699579999998
35393,2011,AZ,Total Electric Power Industry,Nuclear,31277863.0,31.277863
35394,2011,AZ,Total Electric Power Industry,Other,14754.49,0.01475449
35395,2011,AZ,Total Electric Power Industry,Other Biomass,46833.58,0.04683358
35396,2011,AZ,Total Electric Power Industry,Petroleum,53245.27,0.05324527
35397,2011,AZ,Total Electric Power Industry,Pumped Storage,121019.0,0.121019
35398,2011,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,83348.78,0.08334878
35399,2011,AZ,Total Electric Power Industry,Wind,255579.0,0.255579
35400,2011,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,143625.5,0.1436255
37339,2012,AZ,Total Electric Power Industry,Total,110904994.0,110.904994
