YEAR,STATE,ENERGY SOURCE,GENERATION(Megawatthours),GENERATION(TWh)
2005,AZ,Pumped Storage,107365,0.107365
2005,AZ,Solar Thermal and Photovoltaic,13581,0.013581
2005,AZ,Wood and Wood Derived Fuels,12058,0.012058
2006,AZ,Total,104392528,104.392528
2006,AZ,Coal,40442855,40.442855
2006,AZ,Hydroelectric Conventional,6792904,6.792904
2006,AZ,Natural Gas,32869047,32.869047
2006,AZ,Nuclear,24012231,24.012231
2006,AZ,Other Biomass,32193,0.032193
2006,AZ,Petroleum,73371,0.073371
2006,AZ,Pumped Storage,148552,0.148552
2006,AZ,Solar Thermal and Photovoltaic,13134,0.013134
2006,AZ,Wood and Wood Derived Fuels,8240,0.00824
2007,AZ,Total,113340970,113.34097
2007,AZ,Coal,41275362,41.275362
2007,AZ,Hydroelectric Conventional,6597671,6.597671
2007,AZ,Natural Gas,38469221,38.469221
2007,AZ,Nuclear,26782391,26.782391
2007,AZ,Other Biomass,32990,0.03299
2007,AZ,Petroleum,49276,0.049276
2007,AZ,Pumped Storage,125411,0.125411
2007,AZ,Solar Thermal and Photovoltaic,8649,0.008649
2008,AZ,Total,119459172,119.459172
2008,AZ,Coal,43840260,43.84026
2008,AZ,Hydroelectric Conventional,7285902,7.285902
2008,AZ,Natural Gas,38822429,38.822429
2008,AZ,Nuclear,29250496,29.250496
2008,AZ,Other Biomass,22986,0.022986
2008,AZ,Petroleum,51897,0.051897
2008,AZ,Pumped Storage,94530,0.09453
2008,AZ,Solar Thermal and Photovoltaic,14724,0.014724
2008,AZ,Wood and Wood Derived Fuels,75947,0.075947
2009,AZ,Total,111971250,111.97125
2009,AZ,Coal,39706817,39.706817
2009,AZ,Hydroelectric Conventional,6427345,6.427345
2009,AZ,Natural Gas,34739170,34.73917
2009,AZ,Nuclear,30661851,30.661851
2009,AZ,Other,1567,0.001567
2009,AZ,Other Biomass,21990,0.02199
2009,AZ,Petroleum,62699,0.062699
2009,AZ,Pumped Storage,169480,0.16948
2009,AZ,Solar Thermal and Photovoltaic,14145,0.014145
2009,AZ,Wind,29545,0.029545
2009,AZ,Wood and Wood Derived Fuels,136641,0.136641
2010,AZ,Total,111750957,111.750957
2010,AZ,Coal,43643807,43.643807
2010,AZ,Hydroelectric Conventional,6622160,6.62216
2010,AZ,Natural Gas,29675942,29.675942
2010,AZ,Nuclear,31199935,31.199935
2010,AZ,Other,14742,0.014742
2010,AZ,Other Biomass,28411,0.028411
2010,AZ,Petroleum,66434,0.066434
2010,AZ,Pumped Storage,209030,0.20903
2010,AZ,Solar Thermal and Photovoltaic,15754,0.015754
2010,AZ,Wind,134916,0.134916
2010,AZ,Wood and Wood Derived Fuels,139826,0.139826
2011,AZ,Total,108125356.89,108.12535689
2011,AZ,Coal,43702296.69,43.70229669
2011,AZ,Hydroelectric Conventional,9174092,9.174092
2011,AZ,Natural Gas,23252699.58,23.25269958
2011,AZ,Nuclear,31277863,31.277863
2011,AZ,Other,14754.49,0.01475449
2011,AZ,Other Biomass,46833.58,0.04683358
2011,AZ,Petroleum,53245.27,0.05324527
2011,AZ,Pumped Storage,121019,0.121019
2011,AZ,Solar Thermal and Photovoltaic,83348.78,0.08334878
2011,AZ,Wind,255579,0.255579
2011,AZ,Wood and Wood Derived Fuels,143625.5,0.1436255
2012,AZ,Total,110904994,110.904994
2012,AZ,Coal,40115665,40.115665
2012,AZ,Pumped Storage,79445,0.079445
2012,AZ,Hydroelectric Conventional,6716934,6.716934
2012,AZ,Natural Gas,30295010,30.29501
2012,AZ,Nuclear,31933916,31.933916
2012,AZ,Other,24459,0.024459
2012,AZ,Petroleum,41912,0.041912
2012,AZ,Solar Thermal and Photovoltaic,955443,0.955443
2012,AZ,Other Biomass,53872,0.053872
2012,AZ,Wind,531640,0.53164
2012,AZ,Wood and Wood Derived Fuels,156697,0.156697
2013,AZ,Total,113325986.12,113.32598612
2013,AZ,Coal,43492375.81,43.49237581
2013,AZ,Hydroelectric Conventional,5914658,5.914658
2013,AZ,Natural Gas,29684631.29,29.68463129
2013,AZ,Nuclear,31431080,31.43108
2013,AZ,Other,3361.48,0.00336148
2013,AZ,Other Biomass,69133.56,0.06913356
2013,AZ,Petroleum,42964.77,0.04296477
2013,AZ,Pumped Storage,24271,0.024271
2013,AZ,Solar Thermal and Photovoltaic,2111438.64,2.11143864
2013,AZ,Wind,449764,0.449764
2013,AZ,Wood and Wood Derived Fuels,102307.57,0.10230757
2014,AZ,Total,112257187,112.257187
2014,AZ,Coal,42665011,42.665011
2014,AZ,Pumped Storage,13892,0.013892
2014,AZ,Hydroelectric Conventional,6118261,6.118261
2014,AZ,Natural Gas,27241879,27.241879
2014,AZ,Nuclear,32320917,32.320917
2014,AZ,Other,0,0
2014,AZ,Petroleum,56862,0.056862
2014,AZ,Solar Thermal and Photovoltaic,3141508,3.141508
2014,AZ,Other Biomass,61053,0.061053
2014,AZ,Wind,468115,0.468115
2014,AZ,Wood and Wood Derived Fuels,169690,0.16969
2015,AZ,Total,113142048,113.142048
2015,AZ,Coal,36167169,36.167169
2015,AZ,Pumped Storage,73070,0.07307
2015,AZ,Hydroelectric Conventional,6535722,6.535722
2015,AZ,Natural Gas,33657102,33.657102
2015,AZ,Nuclear,32525595,32.525595
2015,AZ,Petroleum,48118,0.048118
2015,AZ,Solar Thermal and Photovoltaic,3456608,3.456608
2015,AZ,Other Biomass,49644,0.049644
2015,AZ,Wind,452035,0.452035
2015,AZ,Wood and Wood Derived Fuels,176984,0.176984
2016,AZ,Total,108763449,108.763449
2016,AZ,Coal,30403392,30.403392
2016,AZ,Pumped Storage,58630,0.05863
2016,AZ,Hydroelectric Conventional,7167763,7.167763
2016,AZ,Natural Gas,34182808,34.182808
2016,AZ,Nuclear,32377477,32.377477
2016,AZ,Petroleum,51595,0.051595
2016,AZ,Solar Thermal and Photovoltaic,3765825,3.765825
2016,AZ,Other Biomass,38242,0.038242
2016,AZ,Wind,541582,0.541582
2016,AZ,Wood and Wood Derived Fuels,176136,0.176136
2017,AZ,Total,105851765,105.851765
2017,AZ,Coal,31396138,31.396138
2017,AZ,Pumped Storage,-45830,-0.04583
2017,AZ,Hydroelectric Conventional,6831891,6.831891
2017,AZ,Natural Gas,29590699,29.590699
2017,AZ,Nuclear,32340138,32.340138
2017,AZ,Other,-1186,-0.001186
2017,AZ,Petroleum,56729,0.056729
