,YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION(Megawatthours),GENERATION(TWh)
58272,2022,CT,Total Electric Power Industry,Coal,0.0,0.0
58273,2022,CT,Total Electric Power Industry,Pumped Storage,1309.0,0.001309
58274,2022,CT,Total Electric Power Industry,Hydroelectric Conventional,312235.0,0.312235
58275,2022,CT,Total Electric Power Industry,Natural Gas,24530687.0,24.530687
58276,2022,CT,Total Electric Power Industry,Nuclear,16464167.0,16.464167
58277,2022,CT,Total Electric Power Industry,Other,491694.0,0.491694
58278,2022,CT,Total Electric Power Industry,Petroleum,314369.0,0.314369
58279,2022,CT,Total Electric Power Industry,Solar Thermal and Photovoltaic,412820.0,0.41282
58280,2022,CT,Total Electric Power Industry,Other Biomass,408715.0,0.408715
58281,2022,CT,Total Electric Power Industry,Wind,12833.0,0.012833
58282,2022,CT,Total Electric Power Industry,Wood and Wood Derived Fuels,105270.0,0.10527
58312,2022,DC,Total Electric Power Industry,Total,160237.0,0.160237
58313,2022,DC,Total Electric Power Industry,Natural Gas,80272.0,0.080272
58314,2022,DC,Total Electric Power Industry,Petroleum,18.0,1.8e-05
58315,2022,DC,Total Electric Power Industry,Solar Thermal and Photovoltaic,22248.0,0.022248
58316,2022,DC,Total Electric Power Industry,Other Biomass,57699.0,0.057699
58325,2022,DE,Total Electric Power Industry,Total,5308370.0,5.30837
58326,2022,DE,Total Electric Power Industry,Coal,104750.0,0.10475
58327,2022,DE,Total Electric Power Industry,Natural Gas,4749645.0,4.749645
58328,2022,DE,Total Electric Power Industry,Other Gases,198489.0,0.198489
58329,2022,DE,Total Electric Power Industry,Petroleum,108258.0,0.108258
58330,2022,DE,Total Electric Power Industry,Solar Thermal and Photovoltaic,63878.0,0.063878
58331,2022,DE,Total Electric Power Industry,Other Biomass,78973.0,0.078973
58332,2022,DE,Total Electric Power Industry,Wind,4377.0,0.004377
58355,2022,FL,Total Electric Power Industry,Total,258910413.0,258.910413
58356,2022,FL,Total Electric Power Industry,Coal,15531572.0,15.531572
58357,2022,FL,Total Electric Power Industry,Hydroelectric Conventional,230962.0,0.230962
58358,2022,FL,Total Electric Power Industry,Natural Gas,193310100.0,193.3101
58359,2022,FL,Total Electric Power Industry,Nuclear,30768329.0,30.768329
58360,2022,FL,Total Electric Power Industry,Other Gases,121.0,0.000121
58361,2022,FL,Total Electric Power Industry,Other,2402159.0,2.402159
58362,2022,FL,Total Electric Power Industry,Petroleum,1319165.0,1.319165
58363,2022,FL,Total Electric Power Industry,Solar Thermal and Photovoltaic,11342163.0,11.342163
58364,2022,FL,Total Electric Power Industry,Other Biomass,1935370.0,1.93537
58365,2022,FL,Total Electric Power Industry,Wood and Wood Derived Fuels,2070473.0,2.070473
58403,2022,GA,Total Electric Power Industry,Total,126484633.0,126.484633
58404,2022,GA,Total Electric Power Industry,Coal,16778383.0,16.778383
58405,2022,GA,Total Electric Power Industry,Pumped Storage,-643048.0,-0.643048
58406,2022,GA,Total Electric Power Industry,Hydroelectric Conventional,3176979.0,3.176979
58407,2022,GA,Total Electric Power Industry,Natural Gas,59848731.0,59.848731
58408,2022,GA,Total Electric Power Industry,Nuclear,34073591.0,34.073591
58409,2022,GA,Total Electric Power Industry,Other,58278.0,0.058278
58410,2022,GA,Total Electric Power Industry,Petroleum,517236.0,0.517236
58411,2022,GA,Total Electric Power Industry,Solar Thermal and Photovoltaic,6947061.0,6.947061
58412,2022,GA,Total Electric Power Industry,Other Biomass,270230.0,0.27023
58413,2022,GA,Total Electric Power Industry,Wood and Wood Derived Fuels,5457192.0,5.457192
58448,2022,HI,Total Electric Power Industry,Total,9337434.0,9.337434
58449,2022,HI,Total Electric Power Industry,Coal,647758.0,0.647758
58450,2022,HI,Total Electric Power Industry,Geothermal,208346.0,0.208346
58451,2022,HI,Total Electric Power Industry,Hydroelectric Conventional,110081.0,0.110081
58452,2022,HI,Total Electric Power Industry,Other Gases,0.0,0.0
58453,2022,HI,Total Electric Power Industry,Other,258545.0,0.258545
58454,2022,HI,Total Electric Power Industry,Petroleum,6655178.0,6.655178
58455,2022,HI,Total Electric Power Industry,Solar Thermal and Photovoltaic,555043.0,0.555043
58456,2022,HI,Total Electric Power Industry,Other Biomass,225506.0,0.225506
58457,2022,HI,Total Electric Power Industry,Wind,625422.0,0.625422
58458,2022,HI,Total Electric Power Industry,Wood and Wood Derived Fuels,51555.0,0.051555
58488,2022,IA,Total Electric Power Industry,Total,72982198.0,72.982198
58489,2022,IA,Total Electric Power Industry,Coal,18172126.0,18.172126
58490,2022,IA,Total Electric Power Industry,Hydroelectric Conventional,1009833.0,1.009833
58491,2022,IA,Total Electric Power Industry,Natural Gas,7339040.0,7.33904
58492,2022,IA,Total Electric Power Industry,Other,-62.0,-6.2e-05
58493,2022,IA,Total Electric Power Industry,Petroleum,93954.0,0.093954
58494,2022,IA,Total Electric Power Industry,Solar Thermal and Photovoltaic,385799.0,0.385799
58495,2022,IA,Total Electric Power Industry,Other Biomass,213603.0,0.213603
58496,2022,IA,Total Electric Power Industry,Wind,45761370.0,45.76137
58497,2022,IA,Total Electric Power Industry,Wood and Wood Derived Fuels,6535.0,0.006535
58531,2022,ID,Total Electric Power Industry,Total,16278410.0,16.27841
58532,2022,ID,Total Electric Power Industry,Coal,6267.0,0.006267
58533,2022,ID,Total Electric Power Industry,Geothermal,91432.0,0.091432
58534,2022,ID,Total Electric Power Industry,Hydroelectric Conventional,8359738.0,8.359738
58535,2022,ID,Total Electric Power Industry,Natural Gas,4335008.0,4.335008
58536,2022,ID,Total Electric Power Industry,Other,50508.0,0.050508
58537,2022,ID,Total Electric Power Industry,Petroleum,52.0,5.2e-05
58538,2022,ID,Total Electric Power Industry,Solar Thermal and Photovoltaic,533318.0,0.533318
58539,2022,ID,Total Electric Power Industry,Other Biomass,90961.0,0.090961
58540,2022,ID,Total Electric Power Industry,Wind,2441688.0,2.441688
58541,2022,ID,Total Electric Power Industry,Wood and Wood Derived Fuels,369438.0,0.369438
58570,2022,IL,Total Electric Power Industry,Total,185223322.0,185.223322
58571,2022,IL,Total Electric Power Industry,Coal,40559217.0,40.559217
58572,2022,IL,Total Electric Power Industry,Hydroelectric Conventional,115235.0,0.115235
58573,2022,IL,Total Electric Power Industry,Natural Gas,19789290.0,19.78929
58574,2022,IL,Total Electric Power Industry,Nuclear,98869581.0,98.869581
58575,2022,IL,Total Electric Power Industry,Other Gases,264574.0,0.264574
58576,2022,IL,Total Electric Power Industry,Other,262966.0,0.262966
58577,2022,IL,Total Electric Power Industry,Petroleum,37579.0,0.037579
58578,2022,IL,Total Electric Power Industry,Solar Thermal and Photovoltaic,1548365.0,1.548365
58579,2022,IL,Total Electric Power Industry,Other Biomass,282709.0,0.282709
58580,2022,IL,Total Electric Power Industry,Wind,23493806.0,23.493806
58581,2022,IL,Total Electric Power Industry,Wood and Wood Derived Fuels,0.0,0.0
58619,2022,IN,Total Electric Power Industry,Total,98054905.0,98.054905
58620,2022,IN,Total Electric Power Industry,Coal,51384115.0,51.384115
58621,2022,IN,Total Electric Power Industry,Hydroelectric Conventional,370827.0,0.370827
